Ticker,Date,Adj Close
BA,2016/05/04,130.889999
BA,2016/05/03,132.490005
BA,2016/05/02,134.009995
BA,2016/04/29,134.800003
BA,2016/04/28,134.800003
BA,2016/04/27,137.080002
BA,2016/04/26,133.240005
BA,2016/04/25,130.75
BA,2016/04/22,131.050003
BA,2016/04/21,130.740005
BA,2016/04/20,130.570007
BA,2016/04/19,132.679993
BA,2016/04/18,131.970001
BA,2016/04/15,131.130005
BA,2016/04/14,130.850006
BA,2016/04/13,131.139999
BA,2016/04/12,129.470001
BA,2016/04/11,127.910004
BA,2016/04/08,127.879997
BA,2016/04/07,127
BA,2016/04/06,127.93
BA,2016/04/05,127.029999
BA,2016/04/04,126.339996
CSX,2016/05/04,26.17
CSX,2016/05/03,26.540001
CSX,2016/05/02,27.379999
CSX,2016/04/29,27.27
CSX,2016/04/28,27.370001
CSX,2016/04/27,27.83
CSX,2016/04/26,27.65
CSX,2016/04/25,27.139999
CSX,2016/04/22,27.530001
CSX,2016/04/21,26.799999
CSX,2016/04/20,26.52
CSX,2016/04/19,26.41
CSX,2016/04/18,26.07
CSX,2016/04/15,25.93
CSX,2016/04/14,26.139999
CSX,2016/04/13,26.030001
CSX,2016/04/12,24.99
CSX,2016/04/11,24.530001
CSX,2016/04/08,24.799999
CSX,2016/04/07,24.620001
CSX,2016/04/06,24.85
CSX,2016/04/05,25.049999
CSX,2016/04/04,25.16
